Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg
2005,-5.5,-9.8,-5.6,8,18,19.5,21.3,21,16.4,8.5,0.9,-4.1,7.4
2006,-13.9,-12.8,-3.1,7.7,15,21.5,19.6,22,15.6,7.8,-0.7,-1.2,6.5
2007,-0.1,-9.5,-0.2,7.8,17.7,19.5,22.1,25.4,15.7,7.4,-3,-10.5,7.7
2008,-11,-6.4,3,10.8,15.6,18.3,21.9,22.2,13.5,8.9,3.2,-5.4,7.9
2009,-9.9,-7.7,-1.8,6.9,14.9,22.2,23.8,18.7,16.9,8.7,0,-8.1,7.1
2010,-14.2,-11.5,-4,7.7,18.1,24.2,27.5,26.7,16.6,4.8,4.5,-3.1,8.1
2011,-9.2,-14.2,-4.6,6.8,16.9,19.2,26.1,21.6,14.5,7.3,-2.8,-4.5,6.4
2012,-9.5,-14.7,-5.2,13.4,19,22.6,23.6,22.4,15,9.5,2,-7.2,7.6
2013,-8.4,-6.6,-3.7,9.5,19.4,20.9,21.4,21.7,13.1,6.9,3.5,-3,7.9
2014,-9,-9,-0.1,7.2,18.9,19.3,22.2,23,14.9,5.7,-2.7,-5.5,7.1
2015,-8.6,-5.3,-1.3,8.3,17.1,23.8,22,20.2,17.8,5,1.6,-0.9,8.3
2016,-9.4,-1.2,1.9,10.6,16.1,21,23.6,24.8,13.2,5.8,-1.9,-8,8
2017,-7.5,-6.3,0.5,8,14,18,21.8,22.4,15,6.7,0.5,-3.4,7.5
2018,-9.2,-10.7,-7.9,7.3,18.1,19.9,23.8,22,17.5,9.3,-2,-7.7,6.7
2019,-9.6,-6.1,-0.5,9.3,18.3,22.8,21.4,19.6,999.9,999.9,999.9,999.9,999.9
